view_date, dashboard_name , total_view_count_per_day
2020-11-05,value-returned,1
2020-11-17,marketing-cost,1
2020-10-22,user-stats,1
2020-10-06,sales-trend,4
2020-11-05,shipment-orders,1
2020-12-23,sales-comparison,160
2020-10-06,provisioning-quotes,2
2020-12-23,user-stats,1
2020-10-14,user-stats,1
2020-12-23,weekly-sales-comparison,25
2020-12-30,shipment-parcels,2
2020-10-12,user-stats,2
2020-10-01,revenue-factura,14
2020-10-27,shipment-orders,2
2020-10-01,sales-trend,1
2020-10-13,marketing-cost,1
2020-12-02,marketing-awin-scorecard,2
2020-11-04,marketing-cost,2
2020-12-30,weekly-sales-comparison,11
2020-11-27,shipment-orders,2
2020-11-09,shipment-orders,2
2020-12-30,revenue-factura,2
2020-11-02,value-returned,1
2020-12-30,marketing-overview,11
2020-10-13,marketing-crm-scorecard,1
2020-11-06,shipment-orders,1
2020-11-28,sales-comparison,132
2020-10-30,sales-trend,2
2020-11-05,revenue-factura-before-returs,2
2020-11-28,shipment-parcels,1
2020-12-04,user-stats,1
2020-11-04,provisioning-quotes,1
2020-10-29,shipment-parcels,12
2020-10-02,revenue-factura,2
2020-12-11,value-returned,1
2020-11-28,weekly-sales-comparison,57
2020-11-27,delivery-quotes,1
2020-11-04,sales-trend,2
2020-12-04,marketing-awin-scorecard,1
2020-12-21,shipment-orders,1
2020-11-04,revenue-factura-before-returs,1
2020-10-23,process-time,1
2020-11-04,shipment-orders,4
2020-10-28,delivery-quotes,2
2020-12-05,sales-comparison,39
2020-11-01,value-returned,1
2020-12-02,marketing-crm-scorecard,1
2020-11-22,sales-comparison,31
2020-10-01,marketing-crm-scorecard,1
2020-11-26,revenue-factura-before-returs,2
2020-11-26,supplies,3
2020-11-01,revenue-factura,8
2020-11-02,supplies,1
2020-11-22,weekly-sales-comparison,29
2020-11-01,shipment-parcels,4
2020-10-29,sales-trend,2
2020-11-01,sales-comparison,46
2020-11-01,sales-trend,1
2020-10-22,sales-trend,1
2020-12-02,marketing-affiliate-scorecard,1
2020-10-22,marketing-affiliate-scorecard,1
2020-11-22,shop-performance-overview,1
2020-12-19,sales-comparison,23
2020-11-01,weekly-sales-comparison,51
2020-12-29,sales-comparison,127
2020-10-27,user-stats,8
2020-11-28,sales-trend,1
2020-12-16,sales-trend,1
2020-12-29,shipment-parcels,2
2020-12-29,shipment-orders,1
2020-12-16,shop-performance-overview,1
2020-12-28,marketing-overview,8
2020-11-28,marketing-overview,6
2020-10-30,supplies,1
2020-10-09,marketing-crm-scorecard,1
2020-12-17,user-stats,1
2020-10-01,delivery-quotes,2
2020-12-17,provisioning-quotes,1
2020-12-28,shipment-parcels,7
2020-11-27,marketing-crm-scorecard,1
2020-12-10,marketing-affiliate-scorecard,1
2020-12-10,shop-performance-overview,3
2020-10-26,sales-trend,2
2020-10-09,provisioning-quotes,1
2020-12-18,weekly-sales-comparison,2
2020-12-29,weekly-sales-comparison,6
2020-10-05,supplies,1
