view_date,dashboard_name, total_view_count_per_day
2020-08-24,sales-comparison,444
2020-07-07,weekly-sales-comparison,57
2020-07-07,revenue-factura,9
2020-03-05,sales-comparison,302
2019-07-31,sales-comparison,159
2019-11-29,shipment-orders,4
2020-08-05,marketing-overview,16
2020-09-25,shipment-parcels,5
2020-10-05,shop-performance-overview,4
2020-11-24,revenue-factura,12
2020-10-05,marketing-overview,34
2020-08-05,delivery-quotes,8
2020-07-07,marketing-overview,23
2020-03-24,marketing-overview,21
2020-05-04,revenue-factura,10
2020-05-25,sales-comparison,408
2020-11-20,weekly-sales-comparison,40
2020-08-25,marketing-overview,25
2020-08-19,marketing-affiliate-scorecard,4
2020-11-17,shipment-orders,3
2020-06-08,sales-comparison,398
2020-04-06,revenue-factura,16
2020-06-22,delivery-quotes,5
2019-08-13,shop-performance-overview,4
2020-08-19,shipment-parcels,1
2020-09-02,revenue-factura,14
2020-03-12,sales-comparison,324
2020-11-06,sales-comparison,328
2020-09-02,marketing-overview,20
2020-09-17,marketing-cost,27
2020-11-17,shipment-parcels,14
2020-06-08,sales-trend,4
2020-06-08,value-returned,2
2020-09-11,shipment-parcels,1
2020-11-17,sales-comparison,341
2019-08-13,supplies,2
2020-09-02,sales-comparison,444
2020-07-07,shipment-orders,2
2020-06-08,shipment-parcels,6
2020-04-24,sales-comparison,333
2019-06-25,sales-trend,2
2020-04-24,shipment-orders,1
2020-04-06,delivery-quotes,6
2020-07-07,value-returned,2
2020-06-08,marketing-overview,33
2020-08-18,marketing-overview,28
2019-06-25,sales-comparison,198
2020-04-24,delivery-quotes,3
2020-06-08,delivery-quotes,15
2020-07-07,shipment-parcels,8
2020-11-06,user-stats,2
2020-08-21,marketing-overview,29
2019-08-13,delivery-quotes,2
2020-03-20,shop-performance-overview,3
2020-04-06,value-returned,2
2020-09-11,shop-performance-overview,2
2020-11-09,value-returned,1
2019-08-09,sales-comparison,161
2020-06-08,user-stats,7
2020-08-21,revenue-factura,6
2020-11-06,revenue-factura,12
2020-08-25,revenue-factura,8
2020-12-16,revenue-factura,8
2020-11-09,marketing-cost,1
2020-11-09,delivery-quotes,1
2019-08-13,sales-trend,2
2020-11-09,revenue-factura,24
2020-06-08,revenue-factura,16
2020-11-06,weekly-sales-comparison,62
2020-09-17,shop-performance-overview,4
2020-11-09,sales-comparison,421
2020-07-07,delivery-quotes,9
2020-07-07,process-time,1
