view_date,dashboard_name,total_views
2020-08-25,sales-comparison,369
2020-03-12,marketing-overview,24
2020-06-08,shop-performance-overview,3
2020-03-12,revenue-factura,1
2020-04-24,value-returned,1
2020-08-19,sales-comparison,364
2020-07-27,marketing-overview,15
2020-04-24,revenue-factura,15
2020-08-25,shipment-orders,7
2020-05-06,marketing-overview,29
2020-03-12,revenue-factura-before-returs,1
2020-04-06,shipment-orders,3
2020-03-12,weekly-sales-comparison,51
2020-10-14,delivery-quotes,1
2020-05-06,sales-trend,2
2020-09-11,sales-comparison,278
2020-03-20,sales-comparison,504
2020-10-14,sales-trend,3
2020-06-22,sales-trend,1
2020-03-20,sales-trend,5
2020-08-19,value-returned,2
2020-12-16,sales-comparison,269
2020-03-20,weekly-sales-comparison,47
2020-04-06,revenue-factura-before-returs,1
2020-06-22,sales-comparison,360
2020-09-11,weekly-sales-comparison,18
2020-04-24,shipment-parcels,2
2020-04-06,sales-comparison,574
2020-10-05,sales-comparison,452
2020-08-21,sales-comparison,258
2020-05-06,shipment-parcels,8
2020-07-07,user-stats,1
2020-08-21,value-returned,5
2020-03-12,delivery-quotes,5
2020-07-27,sales-comparison,260
2020-11-20,revenue-factura,19
2020-11-17,marketing-overview,26
2020-08-19,marketing-overview,18
2020-11-06,value-returned,4
2020-12-16,weekly-sales-comparison,30
2020-09-11,revenue-factura,8
2020-04-24,revenue-factura-before-returs,2
2020-04-06,process-time,1
2020-08-21,weekly-sales-comparison,29
2020-11-09,marketing-overview,32
2020-04-06,marketing-overview,35
2020-10-05,shop-performance-overview,4
2020-10-05,marketing-overview,34
2020-07-07,provisioning-quotes,2
2020-03-24,marketing-overview,21
2020-11-09,shipment-parcels,26
2020-09-11,delivery-quotes,3
2020-11-20,weekly-sales-comparison,40
2020-03-20,revenue-factura,9
2020-04-16,marketing-overview,26
2020-10-27,marketing-overview,24
2020-11-04,revenue-factura,12
2020-07-13,sales-trend,2
2020-12-07,shipment-parcels,11
2020-03-23,shipment-parcels,8
2020-11-04,delivery-quotes,10
2020-09-17,marketing-cost,27
2020-11-04,weekly-sales-comparison,95
2020-09-14,marketing-cost,2
2020-04-09,revenue-factura-before-returs,2
2020-09-07,sales-comparison,334
2020-09-07,marketing-overview,33
2020-10-27,sales-comparison,380
2020-05-07,sales-comparison,335
2020-09-14,weekly-sales-comparison,30
2020-07-28,weekly-sales-comparison,2
2020-09-07,value-returned,1
2020-05-04,shipment-parcels,10
2020-05-04,shop-performance-overview,7
2020-04-16,delivery-quotes,3
2020-11-12,value-returned,2
2020-07-13,sales-comparison,364
2020-11-12,revenue-factura,18
2020-07-16,marketing-overview,20
2020-10-07,sales-comparison,326
2020-11-25,sales-comparison,401
2020-10-02,marketing-overview,31
2020-10-02,weekly-sales-comparison,25
2020-11-12,revenue-factura-before-returs,3
2020-03-23,delivery-quotes,9
2020-07-16,weekly-sales-comparison,28
2020-09-14,shipment-parcels,9
2020-09-14,revenue-factura,18
2020-11-25,marketing-overview,31
2020-05-04,shipment-orders,2
2020-04-09,shipment-orders,1
2020-07-28,sales-comparison,276
2020-03-05,delivery-quotes,3
2020-04-16,value-returned,1
2020-10-15,revenue-factura,7
2020-09-07,shop-performance-overview,2
2020-10-15,sales-comparison,306
2020-09-07,delivery-quotes,10
2020-03-23,weekly-sales-comparison,45
2020-11-04,shipment-parcels,16
2020-03-20,shipment-orders,1
2020-09-17,shop-performance-overview,4
2020-12-07,weekly-sales-comparison,46
2020-09-14,sales-trend,3
2020-10-15,marketing-overview,41
2020-07-28,sales-trend,3
2020-10-02,sales-comparison,251
2020-05-07,revenue-factura-before-returs,3
2020-01-29,marketing-overview,19
2020-12-07,sales-comparison,398
2020-10-07,marketing-overview,36
2020-05-07,revenue-factura,5
2020-09-14,delivery-quotes,2
2020-06-24,marketing-affiliate-scorecard,2
2020-10-27,sales-trend,3
2020-11-26,marketing-cost,1
2020-07-13,marketing-overview,35
2020-11-04,sales-comparison,315
2020-10-15,weekly-sales-comparison,48
2020-04-16,weekly-sales-comparison,13
2020-03-23,sales-trend,3
2020-10-15,shipment-parcels,8
2020-12-07,sales-trend,6
2020-11-12,delivery-quotes,6
2020-10-27,weekly-sales-comparison,51
2020-11-12,sales-comparison,292
2020-09-17,marketing-affiliate-scorecard,2
2020-10-27,revenue-factura,24
2020-03-20,shipment-parcels,5
2020-10-02,shipment-parcels,3
2020-10-07,marketing-cost,1
2020-09-14,marketing-overview,28
2020-05-07,value-returned,2
2020-04-09,shipment-parcels,4
2020-07-13,weekly-sales-comparison,26
2020-03-23,revenue-factura,9
2020-10-07,weekly-sales-comparison,79
2020-09-14,sales-comparison,367
2020-03-12,shop-performance-overview,3
2020-04-16,revenue-factura-before-returs,1
2020-12-07,marketing-overview,31
2020-05-04,sales-trend,6
2020-07-13,revenue-factura,20
2020-04-16,sales-comparison,311
2020-07-16,sales-comparison,331
2020-03-23,marketing-overview,28
2020-12-07,revenue-factura,24
2020-09-07,revenue-factura,12
2020-05-07,delivery-quotes,2
2020-11-25,shipment-parcels,6
2020-05-04,revenue-factura-before-returs,2
2020-07-13,revenue-factura-before-returs,6
2020-03-20,marketing-overview,26
2020-05-04,marketing-awin-scorecard,1
2020-09-07,weekly-sales-comparison,48
2020-11-12,weekly-sales-comparison,48
2020-11-04,marketing-overview,39
2020-05-07,marketing-overview,26
2020-11-04,value-returned,3
2020-11-25,revenue-factura,19
2020-09-14,shop-performance-overview,3
2020-03-05,revenue-factura,2
2020-11-25,weekly-sales-comparison,95
2020-05-07,weekly-sales-comparison,26
2020-07-13,shipment-parcels,10
2020-11-26,shipment-orders,4
2020-04-16,revenue-factura,9
2020-01-29,sales-comparison,232
2020-03-23,sales-comparison,552
2020-03-20,delivery-quotes,4
2020-10-15,shop-performance-overview,10
2020-06-24,shop-performance-overview,4
2020-09-07,shipment-parcels,13
2020-07-30,delivery-quotes,9
2020-12-02,revenue-factura,19
2020-04-29,sales-comparison,338
2020-08-10,delivery-quotes,4
2020-03-09,sales-comparison,366
2020-12-17,process-time,2
2020-10-27,marketing-cost,3
2020-01-27,revenue-factura,8
2020-03-03,revenue-factura,3
2020-03-03,user-stats,1
2020-01-27,shop-performance-overview,1
2020-06-25,marketing-overview,20
2020-01-28,value-returned,1
2020-07-06,marketing-overview,45
2020-01-27,marketing-overview,26
2020-06-17,revenue-factura,5
2020-09-30,revenue-factura,19
2020-10-06,marketing-overview,27
2020-01-27,weekly-sales-comparison,31
2020-06-17,shipment-parcels,3
2020-07-07,shop-performance-overview,2
2020-10-06,weekly-sales-comparison,52
2020-11-25,sales-trend,2
2020-09-18,weekly-sales-comparison,21
2020-11-10,sales-comparison,353
2020-03-09,delivery-quotes,9
2020-03-09,shipment-parcels,3
2020-11-10,marketing-overview,35
2020-12-02,shipment-orders,5
2020-09-30,weekly-sales-comparison,55
2020-10-07,revenue-factura,21
2020-01-27,revenue-factura-before-returs,2
2020-10-27,shop-performance-overview,3
2020-10-07,shipment-parcels,7
2020-03-11,marketing-overview,14
2020-04-29,revenue-factura,32
2020-12-02,marketing-overview,37
2020-09-30,shipment-orders,4
2020-12-17,revenue-factura,15
2020-07-30,revenue-factura,8
2020-11-10,revenue-factura,29
2020-06-25,revenue-factura,10
2020-09-30,sales-comparison,294
2020-08-10,revenue-factura,8
2020-07-30,sales-comparison,191
2020-06-25,sales-comparison,268
2020-10-06,delivery-quotes,6
2020-11-25,revenue-factura-before-returs,2
2020-07-06,revenue-factura,10
2020-07-06,shipment-parcels,8
2020-06-03,sales-comparison,448
2020-06-03,weekly-sales-comparison,32
2020-08-10,sales-comparison,371
2020-09-18,sales-comparison,261
2020-07-07,marketing-crm-scorecard,2
2020-06-17,weekly-sales-comparison,23
2020-06-17,sales-comparison,359
2020-06-03,shop-performance-overview,5
2020-01-27,sales-comparison,334
2020-06-17,revenue-factura-before-returs,1
2020-05-25,shipment-parcels,7
2020-12-02,shipment-parcels,12
2020-06-17,marketing-overview,31
2020-05-25,shop-performance-overview,3
2020-12-02,weekly-sales-comparison,66
2020-04-29,marketing-overview,26
2020-08-10,marketing-overview,17
2020-07-30,weekly-sales-comparison,9
2020-01-28,revenue-factura,3
2020-11-10,shop-performance-overview,4
2020-09-18,sales-trend,1
2020-05-25,value-returned,1
2020-09-18,revenue-factura,12
2020-03-11,sales-comparison,283
2020-09-18,marketing-overview,16
2020-03-09,marketing-overview,45
2020-01-28,sales-comparison,345
2020-11-10,sales-trend,3
2020-01-28,marketing-overview,28
2020-07-01,delivery-quotes,1
2020-09-02,weekly-sales-comparison,44
2020-01-28,revenue-factura-before-returs,1
2020-06-03,revenue-factura,4
2020-07-06,sales-comparison,418
2020-01-27,shipment-parcels,5
2020-12-17,value-returned,1
2020-10-06,sales-comparison,283
2020-12-02,sales-comparison,340
2020-03-09,revenue-factura,2
2020-01-28,user-stats,2
2020-07-06,weekly-sales-comparison,32
2020-07-30,marketing-overview,13
2020-11-10,weekly-sales-comparison,40
2020-11-25,value-returned,1
2020-05-25,revenue-factura-before-returs,2
2020-01-28,shipment-orders,1
2020-01-28,weekly-sales-comparison,21
2020-09-30,marketing-overview,28
2020-06-03,marketing-overview,24
2020-05-06,supplies,1
2020-05-25,delivery-quotes,2
2020-03-09,weekly-sales-comparison,18
2020-12-17,shipment-orders,4
2020-08-27,sales-comparison,271
2020-10-21,revenue-factura,16
